COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & E POSURE,Natural,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LOCC,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Life Expectancy(2023),1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
South Korea,KOR,1.9,Very0Low,160,5.7,3.5,5.9,7.3,4.7,7.6,8.5,0.3,3,0.1,0.2,0,1.2,0.4,0,1.3,0.1,1.9,3.2,0.3,0.2,0,0.8,0.3,1.6,2.3,1.5,3,0.8,1.2,0,1,83,48,51,55,59,63,65,67,70,73,75,77,79,81
South Sudan,SSD,8.5,Very0High,2,7.5,7.3,4.1,2.8,7.1,0,0,3.5,7.3,9,10,9,8.8,8.6,9.7,4.8,10,8.9,10,6.6,6.9,6.4,7.7,6.9,9.4,9.3,0,9.3,9.5,9.5,9.6,10,58,28,31,33,35,37,39,39,42,45,48,50,52,55
Spain,ESP,2.3,Low,145,3,2.4,4,3.5,5.4,7,0,3.9,2.3,0.4,0.6,0,2.7,0.4,0,1.6,0.1,4.5,7,0.3,0.2,0,1.1,0.4,1.8,2.9,2.2,3.6,0.5,1.3,0,0,83,65,68,70,71,73,74,76,77,78,79,80,81,83
Sri Lanka,LKA,3.3,Low,106,3,3.3,5.2,0.1,6.1,8.5,3.6,3.8,5.7,0.8,1.2,0,2.7,3,3.2,4.5,1.1,2.4,3.3,0.3,2.6,1,1.8,1.5,4,4.7,3.6,5.7,3.2,2.8,2.7,4,77,55,58,60,63,65,67,69,69,70,69,73,74,75
Sudan,SDN,7.1,Very0High,10,3.2,7.3,4.2,0.1,8,0,0,5.3,6.5,9,10,9,7.2,6.2,8.5,4.8,2.8,8,9.9,1.6,5.9,0.9,3.6,3.3,6.7,6.5,4.9,8,6.9,6.2,8.3,6,65,45,47,49,51,53,54,54,55,56,58,59,62,64
Suriname,SUR,3.2,Low,109,3.5,2.3,4,0.1,8.6,3.2,0,1.5,5.7,0.1,0.1,0,3,3.5,3.6,5.8,0.8,2.4,2.8,0.6,1.5,2.3,2.9,1.9,4.9,6.1,0,6.1,3.5,1.7,3.7,5,72,56,59,61,62,64,65,67,67,68,68,68,70,71
Sweden,SWE,1.4,Very0Low,180,3.7,0.6,1.1,0.1,3.2,0,0,1,1.7,0.1,0.2,0,2.9,0.2,0,0.8,0.1,4.9,7.5,0.1,0.2,0.1,1.7,0.5,1.5,2.1,2.5,1.6,0.8,1.4,0.9,0,83,72,73,74,74,75,75,76,77,78,79,80,81,82
Switzerland,CHE,1.4,Very0Low,180,5.1,1.3,2.3,5.1,4.3,0,0,1,1.9,0.1,0.1,0,2.5,0.3,0,1.2,0.1,4.2,6.6,0.1,0.3,0,1.2,0.4,0.9,1.1,0.9,1.3,0.6,1.4,0,0,84,69,71,72,73,74,75,76,77,78,79,81,82,83
Syria,SYR,6.9,Very0High,14,8.3,7.8,5.9,7.8,5.2,5.6,0,7.8,6.1,9,10,9,7.8,6.5,6.1,6.4,7.3,8.7,10,0.4,2,10,3.1,5.7,5.5,6.6,4.6,8.6,4.1,4.3,2.9,5,72,48,51,53,57,61,64,67,70,71,73,74,74,70
Tajikistan,TJK,4.1,Medium,71,3.7,3.7,5.8,9.3,5.4,0,0,7.6,6.2,0.9,1.3,0,3.8,4.6,5,3.3,5,2.9,4.1,1.4,2.1,0.1,2.4,1.5,4.9,5.8,4.6,7,3.8,3,4.4,4,71,53,55,57,59,61,62,63,64,62,64,66,69,70
