COUNTRY,ISO3,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,DRR,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,Overall RISK,Rank
Uruguay,URY,0,5.9,0,0,0.9,1.7,0,0,0,0.9,3.7,4.7,0.1,3.1,0,0.2,0,2.1,0.8,0.4,1.8,4,3.4,3.7,2.7,2.5,3,2.6,3.2,1.7,165
Qatar,QAT,0.3,0.7,0,0,3.3,1,0,0,0,0.5,4.5,6,0,3.8,1.9,0.1,0,1,0.4,1.2,2.6,x,3,3,2.5,1.5,3,2.2,2.6,1.5,172
Belarus,BLR,0,5.7,0,0,0,1.5,1.7,0,1.2,1.4,3.2,0.4,0.3,1.8,1,0.1,0.4,1.3,0.6,0.8,1.3,3,7,5,4.7,2.7,3,3.4,4.2,2,155
Georgia,GEO,8,6.4,0,0,2.5,4.2,5.6,0,3.9,4.1,4.4,4.3,4.2,4.3,7.1,0.1,0.8,3.3,1.5,4.9,4.6,5.3,4.5,4.9,4.2,3.1,3,3.4,4.2,4.3,73
Korea Republic of,KOR,1.9,8.3,0,6.1,0.4,4.2,0.3,0,0.2,2.5,8.3,4,0,5.1,0,0.7,0,2.4,1.1,0.6,3.2,1.5,3.6,2.6,5.1,1.2,3,3,2.8,2.8,128
Kazakhstan,KAZ,6.8,5.8,0,0,2.8,3.6,3.1,0,2.2,2.9,6,1,0.2,3.3,1.2,0.3,0.1,0.8,0.4,0.8,2.1,3.8,6.7,5.3,4.2,3.8,3,3.7,4.5,3,118
Korea DPR,PRK,0,8.3,0,1.9,2.3,3.4,1.7,0,1.2,2.3,7.1,x,0.2,4.8,0,1.4,4.9,8.9,6,3.5,4.2,x,9,9,3.7,3.7,3,3.4,7.1,4.1,80
Lebanon,LBN,5.9,2.9,8.6,0,1.7,4.7,4.4,0,3.1,3.9,2.8,x,5.5,3.7,6.4,0.1,0,1.7,0.6,4.1,3.9,4.6,6.5,5.6,4.7,2.6,3,3.4,4.6,4.1,78
Croatia,HRV,7.1,5,0,0,0.9,3.2,0.1,0,0,1.8,6.2,2,0,3.6,3.2,0.1,0,2.1,0.8,2.1,2.9,2.8,4.4,3.6,3.9,2.4,3,3.1,3.4,2.6,135
Latvia,LVA,0,4,0,0,0,1,0.1,0,0,0.5,3,1.7,0,1.9,0,0.3,0,1.6,0.7,0.3,1.2,x,4,4,3.6,1.1,3,2.6,3.3,1.2,177
Ukraine,UKR,2.8,7.6,0,0,1.5,3,7.5,9,9,7,4,0.5,0.5,2.2,0,0.6,0,1.6,0.8,0.4,1.4,x,6.9,6.9,4.5,3.1,3,3.6,5.5,3.7,93
Moldova Republic of,MDA,6.3,5.7,0,0,4.6,3.8,6,0,4.2,4,6,1.9,4.6,4.6,1.3,0.3,0.1,2.4,1,1.2,3.1,6.2,6.1,6.2,5.7,3.2,3,4.1,5.2,4,85
Azerbaijan,AZE,8,5.4,0,0,2.6,4,5.3,0,3.7,3.8,3.7,2.2,0.9,2.6,5.6,0.2,0.1,1.3,0.5,3.4,3,x,6.6,6.6,4.5,4,3,4,5.4,4,86
Costa Rica,CRI,9.5,3.1,4.3,0.7,0.7,4.9,0.2,0,0.1,2.8,6.1,6,0.2,4.6,1.7,0.2,0.1,2.5,1,1.3,3.1,1.5,4.4,2.9,3.5,2.1,3,3,3,3,123
Singapore,SGP,0,0,0,0,0,0,0.1,0,0,0,4.6,4.5,0,3.4,0,0.3,0,1.6,0.7,0.3,2,1.2,1.1,1.1,3.1,0,4,2.2,1.7,0.4,187
Poland,POL,2.1,6.6,0,0,0.6,2.3,1.8,0,1.2,1.8,2.9,2.5,0,2.1,0,0.1,0,1.1,0.4,0.2,1.2,4.6,3.8,4.2,5.4,1.3,4,3.4,3.8,2,152
Serbia,SRB,6.5,8.8,0,0,0.6,4.4,2.7,0,1.9,3.2,4.6,2,4.4,3.9,6.8,0.1,0.4,2.7,1.1,4.5,4.2,5,5.2,5.1,5.7,2.4,4,3.9,4.5,4,87
Argentina,ARG,5,8.3,0,0,1.8,3.9,2.9,0,2.1,3,3.7,4.3,0.1,2.9,1,0.2,0,1.1,0.4,0.7,1.9,4,6.1,5,3.8,3.4,4,3.6,4.4,2.9,124
Macedonia FYR,MKD,6.3,3.7,0,0,2.1,2.8,1.5,0,1,1.9,3.6,4.7,2.1,3.5,1.2,0.2,0.2,2.6,1.1,1.1,2.4,4.2,5.4,4.8,4.4,2.5,4,3.5,4.2,2.7,130
Panama,PAN,7,2.7,3.7,0,0.4,3.2,3.2,0,2.2,2.8,5,5.6,0.5,4,2.8,0.5,0.1,2.9,1.3,2,3.1,4.3,5.4,4.8,4.5,4.3,4,4.2,4.5,3.4,105
Cuba,CUB,5.7,3.5,0,8.4,3.6,4.9,0.2,0,0.1,2.8,5.3,4.7,0.2,3.9,0,0,0.3,0.7,0.3,0.2,2.2,2.5,5.6,4.1,3.5,2.8,4,3.4,3.7,2.9,125
Montenegro,MNE,5.8,4.2,0,0,0,2.4,0,0,0,1.3,5.1,0.9,4.5,3.9,4.6,0.1,0.2,0.3,0.2,2.7,3.3,4,4.7,4.3,4.1,2.6,4,3.6,4,2.6,136
Romania,ROU,8.2,7.7,0,0,2.6,4.8,3.4,0,2.4,3.7,3.2,1.2,0,1.9,0,0.1,0,1.2,0.5,0.2,1.1,4.4,5.1,4.8,4.7,4.4,4,4.4,4.6,2.6,132
Armenia,ARM,8,5.1,0,0,3.4,4,0.2,0,0.1,2.3,4,1.3,3.1,3.1,3.3,0.1,1.1,3,1.5,2.5,2.8,7.5,5.6,6.6,3.9,3.1,4,3.8,5.3,3.2,110
United Arab Emirates,ARE,6.1,2.8,0,0,3.9,2.9,0.1,0,0,1.6,5.4,8.4,0,4.8,1.4,0.2,0,1.3,0.5,1,3.1,x,2.9,2.9,3.9,3.4,4,3.8,3.4,2.6,137
Antigua and Barbuda,ATG,8,0,6.2,8.7,0,5.7,0,0,0,3.4,2.6,x,2,2.4,0,0.2,0,4.2,1.7,0.9,1.7,5.4,4,4.7,x,0.7,4,2.5,3.7,2.8,129
Kuwait,KWT,4.2,1.3,0,0,3.3,1.9,3.4,0,2.4,2.2,5.9,7.1,0,4.7,4.6,0.3,0,0.6,0.3,2.7,3.8,x,5.4,5.4,3.7,2.6,4,3.6,4.6,3.3,107
Egypt,EGY,6,8.1,8.3,0,1.1,5.7,7.1,7,7,6.4,9,4.8,0.5,5.8,3.1,0.1,0,2.7,1,2.1,4.2,4.2,6.8,5.5,5.8,3.2,4,4.5,5,5.1,37
Mexico,MEX,8.5,7.8,7.5,8.4,3.7,7.5,9.5,9,9,8.3,5.4,5.6,0.1,4.1,0,0.3,0,1.6,0.6,0.3,2.4,2.8,5.5,4.1,7.1,3.8,4,5.1,4.6,4.5,60
Saint Lucia,LCA,4.3,0,6,8.5,0.7,4.8,0,0,0,2.7,3.2,x,4.1,3.5,0,0.2,0,3.7,1.5,0.8,2.2,5.2,3,4.1,x,2.6,4,3.5,3.8,2.8,126
Turkey,TUR,9.9,7.2,7.8,0,1.1,6.7,7.9,0,5.5,6.1,5.3,5.5,1,4.3,4.2,0.2,0,1.2,0.4,2.5,3.5,2.8,4.6,3.7,5.9,2.7,4,4.3,4,4.4,67
Barbados,BRB,0,0,1.9,8.2,0.7,3,0,0,0,1.6,4.2,1.3,0,2.4,0,0.2,0,1.8,0.7,0.4,1.4,2.8,2.4,2.6,x,0.3,5,2.4,2.5,1.8,160
Bosnia and Herzegovina,BIH,6.4,6.1,0,0,2.2,3.5,0.2,0,0.1,1.9,4.1,2.8,4.3,3.8,6.2,0.3,0.1,1.7,0.7,4,3.9,x,5.9,5.9,5.2,2.6,5,4.1,5,3.4,106
Jordan,JOR,6.5,2.8,0,0,3.7,3,2.3,0,1.6,2.3,7.3,6.3,6.5,6.9,6.8,0.1,0,1.1,0.4,4.4,5.7,6.1,5.4,5.7,4.8,3.5,5,4.3,5,4.1,82
Mongolia,MNG,4.6,4.2,0,0,4.1,2.8,1.3,0,0.9,1.9,5.1,2.8,4.4,4.3,0,0.6,0,5.8,2.6,1.4,3,6,6.1,6,3.6,6,5,4.7,5.4,3.1,114
Uzbekistan,UZB,9.8,6.7,0,0,5.7,5.9,4,0,2.8,4.5,5.9,2.9,0.3,3.8,0,0.4,0,2,0.8,0.4,2.3,2.6,7.6,5.1,5.6,3.8,5,4.6,4.9,3.7,96
Kyrgyzstan,KGZ,9.6,5.4,0,0,5.2,5.4,3.5,0,2.5,4.1,4.8,2.2,4.2,4,2.7,0.6,0,2,0.9,1.9,3,5,7,6,5.3,4.1,5,4.7,5.4,4,84
Chile,CHL,9.8,6,10,0,0.4,7.2,1.3,0,0.9,4.8,4,5.3,0.2,3.4,0,0.3,3.4,2.4,2.1,1.1,2.3,3.2,2.7,3,3.2,3.2,5,3.7,3.3,3.3,108
Dominica,DMA,4,0,0,5.5,0,2.2,0,0,0,1.2,3,x,6.8,4.3,0,0.3,0,1.1,0.5,0.2,2.5,x,3.9,3.9,x,1.1,5,2.9,3.4,2.2,151
Mauritius,MUS,0,0,9.1,9.4,0.4,5.7,0,0,0,3.4,4.4,4.3,3.3,4.1,0,0.2,0,2.6,1,0.5,2.5,3.3,4,3.7,5.4,1.5,5,3.9,3.8,3.2,113
Brazil,BRA,2.3,7.8,0,3,4.4,4.1,8.6,0,6,5.1,5,6.1,0.1,4.1,0,0.3,0.1,1.4,0.6,0.3,2.4,4.3,5.5,4.9,4.4,3.8,5,4.3,4.6,3.8,89
Trinidad and Tobago,TTO,5.4,0,2.9,0.8,2,2.4,0.1,0,0.1,1.3,5.6,4.6,0,3.9,0,0.8,0,2.7,1.2,0.6,2.4,4.4,5.3,4.8,3.4,0.7,5,3,4,2.3,144
Venezuela,VEN,8,6.3,0.5,0.7,0.9,4.1,6.1,0,4.2,4.2,8.7,5.2,0,5.7,3.2,0.4,0,3.6,1.5,2.4,4.2,5.5,7.6,6.5,4.2,3.9,5,4.3,5.5,4.6,58
Brunei Darussalam,BRN,0,0,0,0,1.1,0.2,0,0,0,0.1,5,6.1,0,4,0,0.6,0,2.1,0.9,0.5,2.4,6,3.6,4.8,4.7,6.5,5,5.4,5.1,1.1,180
Dominican Republic,DOM,8.6,8.2,0,10,0.6,7.1,2.4,0,1.7,5,8.8,5.7,0.6,6,4.6,0.4,0.2,4.5,1.9,3.4,4.8,4.7,6.5,5.6,5,4.7,5,4.9,5.2,5,40
Maldives,MDV,0,0,1.2,0,0,0.3,0,0,0,0.1,10,6.5,4.1,7.7,0,0.3,0,2.7,1.1,0.5,5.1,5.8,5.6,5.7,1.7,2.8,5,3.2,4.5,1.4,173
Suriname,SUR,0,4.2,0,0,0.6,1.1,0,0,0,0.6,3.4,x,2.8,3.2,0,0.3,0,2.8,1.1,0.6,2,x,5.7,5.7,6.3,4.3,5,5.2,5.4,1.8,158
Bahrain,BHR,0,1,0,0,0,0.2,0.9,0,0.6,0.4,7.4,8.8,0,5.9,1.2,0.2,0,1.4,0.5,0.9,3.8,3.8,4.5,4.2,3.8,0,5,2.9,3.6,1.8,161
Saint Vincent and the Grenadines,VCT,2.5,0,0,4.8,0,1.7,0,0,0,0.9,3.4,x,2.9,3.3,0,0.5,0,2,0.9,0.4,2,x,3.5,3.5,x,1.2,5,3.1,3.3,1.8,162
Turkmenistan,TKM,7.8,5.2,0,0,3.3,4,1.3,0,0.9,2.6,4.2,x,0.2,2.9,2.2,0.5,0,1.2,0.6,1.4,2.2,x,8,8,6.7,5.2,5,5.7,7,3.4,104
Colombia,COL,8.2,8.3,5.1,2.1,1.4,5.8,8.5,7,7,6.4,8.6,6.4,0.5,6,9.6,0.5,0.1,3.3,1.4,7.3,6.7,3.1,5.7,4.4,4.1,4.4,5,4.6,4.5,5.8,24
Libya,LBY,5.5,2.4,8,0,3.3,4.5,8.5,8,8,6.6,8.4,8.3,1.2,6.6,3.2,0.2,0,1,0.4,1.9,4.6,x,8.2,8.2,0,6.4,5,3.9,6.6,5.8,22
China,CHN,8,8.3,7.7,9.3,4.6,7.9,9,0,6.3,7.2,6.6,4.6,0,4.5,1.3,0.3,1.6,3.6,2,1.6,3.2,2.5,5.5,4,4.4,4.2,5,4.6,4.3,4.6,56
Ecuador,ECU,9,5.7,10,0,2.2,7,1.1,0,0.7,4.6,6.7,6.2,0.3,5,3.4,0.6,0.2,3.7,1.6,2.6,3.9,2.8,6.2,4.5,5,4.5,5,4.9,4.7,4.4,68
Iran,IRN,10,7.5,7,0,4.8,7,7.4,0,5.2,6.2,6.6,5.1,0,4.6,5.3,0.2,0,1.1,0.5,3.2,4,4.4,6.9,5.7,5.6,3.8,5,4.9,5.3,5.1,39
Nicaragua,NIC,9.5,4.1,1.4,3.8,3,5.3,2.9,0,2,3.8,9.3,5.2,3.8,6.9,0,0.7,0.4,4.1,1.9,1,4.6,4.7,6.9,5.8,6.8,5.8,5,6,5.9,4.7,52
